Album,Tên bài hát,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
网剧《对我而言危险的他》原声带,黑曜（网剧《对我而言危险的…,,,袁莉媛,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,Vậy Nên Ta / 所以我,,,吉克隽逸,陈恬,"Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,所以我 (伴奏),,,吉克隽逸,陈恬,"Hoa Ngữ, Nhạc Phim",Believe
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,就在江湖之上纵览重楼…,,,"严艺丹, 薛琳可","严艺丹, 薛琳可","Hoa Ngữ, Nhạc Phim",Believe
微短剧《结婚吗？好的！》原声带,荧惑守星（微短剧《结婚吗？…,,,赵奂然,郑冰冰,"Hoa Ngữ, Pop, Nhạc Phim",JSJ MUSIC
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,若你也听见 (伴奏),,,袁娅维,哈也,"Hoa Ngữ, Nhạc Phim",Believe
Liên Hoa Lâu (OST) / 《莲花楼》电视剧原声专辑,莫叹人世太匆忙…,,,"严艺丹, 薛琳可","严艺丹, 薛琳可","Hoa Ngữ, Nhạc Phim",Believe
Hồ Yêu Tiểu Hồng Nương: Nguyệt Hồng Thiên (OST) / 电视剧《狐妖小红娘月红篇》原声带,只你 (伴奏),,,颜人中,"陈恬, 黄一","Hoa Ngữ, Nhạc Phim",Believe
"Lovely Runner, Pt. 1 (Original Soundtrack)",Sudden Shower,,,Eclipse,"한성호, 박수석, Moon Kim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 8 (Original Soundtrack) (EP)",Spring Snow,,,10cm,Muii,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"When The Phone Rings, Pt. 1 (Original Soundtrack) (EP)",See The Light,,,Lim Hyunsik,"AllThou, Suhyun Kim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 3 (Original Soundtrack) (EP)",Like A Dream,,,MINNIE,정구현,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"When The Phone Rings, Pt. 2 (Original Soundtrack) (EP)",Numb,,,LIM YEON,"Maxx Song (BADX), Sam Carter (MonoTree), jisanpark (BADX), True Choi (BADX), TonKim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
When The Phone Rings (Original Soundtrack),When the Phone Rings,,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"When The Phone Rings, Pt. 4 (Original Soundtrack) (EP)",May I Love You?,,,Jae Yeon,"Dinner Coat, 유정현","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Sweet Dream (VIVINOS - ALNST Original Soundtrack Part.2) (Single),Sweet Dream (VIVINOS -…,,,C!naH,,"Hàn Quốc, Nhạc Phim",Genie Music
"Lovely Runner, Pt. 5 (Original Soundtrack) (EP)",A Day,,,Jong Ho,HAN JAEWAN,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 1 (Original Soundtrack)",Run Run,,,Eclipse,"정진욱, YIPRO, Jacob Aaron","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"When The Phone Rings, Pt. 6 (Original Soundtrack) (EP)",Say My Name,,,Yoo Yeon-seok,"ALYSA, William Seldahl","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Doona! (Music from The Netflix Series),Full Moon,,,Seori,"Nam Hye Seung, 전종혁","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 6 (Original Soundtrack) (EP)",I Think I Did,,,Yoo Hwe Seung,You Hee Yeol,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Unknown (Till The End...) [VIVINOS - ALNST Original Soundtrack Part.3] (Single),Unknown (Till The End...)…,,,AKUGETSU,,"Hàn Quốc, Nhạc Phim",Genie Music
"Love, Maybe (A Business Proposal OST Bonus Track) (EP)","Love, Maybe (Acoustic Ver.)",,,KIMSEJEONG,"MeloMance, 멜로망스","Hàn Quốc, Nhạc Phim",Kakao Entertainment
"Lovely Runner, Pt. 4 (Original Soundtrack) (EP)",May I Love You?,,,Umji,"박우상, 성유진, SIU","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"When The Phone Rings, Pt. 5 (Original Soundtrack) (EP)",I Feel It Now,,,Whee In,"SLA, Im Se Jun, Klozer, Sondia","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 1 (Original Soundtrack)",No Fate,,,Eclipse,"San Yoon, Vendors","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 9 (Original Soundtrack) (EP)",Gift,,,Ha Sung Woon,윤영준,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Love Next Door, Pt. 5 (Original Soundtrack) (EP)",Leave it all behind,,,wonstein,"AllThou, Suhyun Kim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Sun Shower (A Business Proposal OST Part.3) (EP),Sun Shower,,,Movning,"Kim Young Sung, Park Se Jun, Seo Jae Ha, 서재하, 김영성, 박세준","Hàn Quốc, Nhạc Phim",Kakao Entertainment
Black Sorrow (VIVINOS - ALNST Original Soundtrack Part.4) (Single),Black Sorrow (VIVINOS -…,,,PARK BYEONG HOON,,"Hàn Quốc, Nhạc Phim",Genie Music
My Clematis (VIVINOS - ALNST Original Soundtrack Part.1) (Single),My Clematis (VIVINOS -…,,,"Rubyeye, C!naH",,"Hàn Quốc, Nhạc Phim",Genie Music
"Lovely Runner, Pt. 4 (Original Soundtrack) (EP)",Super Ultra Man,,,Deundeun Man,Deundeun Man,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 4 (Original Soundtrack) (EP)",I′ll Be There,,,Eclipse,G.고릴라,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
LOOKISM OST,Fly Up (Concert Ver.) (Feat.…,,,"Hwang Chang young, DOÓR","EDEN (Kim, Yonghwan), BUDDY (Kim, Minseop), Door (Byon, Jang Moon), HLB (Han, Ji Won)","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 2 (Original Soundtrack) (EP)",Star,,,N.Flying,정구현,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Love, Maybe (A Business Proposal OST Part.5) (Single)","Love, Maybe",,,SECRET NUMBER,"MeloMance, 멜로망스","Hàn Quốc, Nhạc Phim",Kakao Entertainment
"BREWING LOVE, Pt. 1 (Original Soundtrack) (Single)",Tipsy On You,,,ONF,Kang Butter,"Hàn Quốc, Nhạc Phim",FLUXUS INC.
Sweet (A Business Proposal OST Part.1) (EP),Sweet,,,Lee Mujin,"Maxx Song, WONJUN, ANNE, 빨간머리앤, 원준","Hàn Quốc, Nhạc Phim",Kakao Entertainment
"Dear Hyeri, Pt. 4 (Original Soundtrack) (Single)",What If,,,PLAVE,"최재원, OUOW","Hàn Quốc, Nhạc Phim",FLUXUS INC.
Doona! (Music from The Netflix Series),Ordinary Days,,,Suzy,"Nam Hye Seung, Kim Kyoung Hee","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Delivery Man, Pt. 2 (Original Soundtrack) (Single)",Dream about You,,,KyoungSeo,"노주환, PHILANT","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"Beautiful Restriction (from ""A Time Called You"") (Music from The Netflix Series) (Single)",Beautiful Restriction (from…,,,NewJeans,김종서,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Alchemy of Souls: Light and Shadow, Pt. 2 (Original Television Soundtrack) (EP)",Tree (Just Watching You 2),,,HWANG MIN HYUN,"Nam Hye Seung, 김경희","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 7 (Original Soundtrack) (EP)",Monologue,,,Jae Yeon,"백승재, Jason Moon","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Spring Breeze (A Business Proposal OST Part.9) (Single),Spring Breeze,,,NEW (THE BOYZ),"Go duk joon, Yun byung ju, Park Young Min, 박영민, 윤병주, 고덕준","Hàn Quốc, Nhạc Phim",Kakao Entertainment
Fall in love (A Business Proposal OST Part.6) (Single),Fall In Love,,,"Jihan, Park Soeun","Lee Da Hyun, Ranic, 이다현","Hàn Quốc, Nhạc Phim",Kakao Entertainment
Lovely Runner (Original Soundtrack),My Only One Star,,,Kim Taeyeong,Kim Taeyeong,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Love in Contract, Pt. 3 (Original Television Soundtrack) (EP)",Close to You (SEUNGMIN of…,,,Stray Kids,정구현,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Lovely Runner, Pt. 10 (Original Soundtrack) (EP)",Please Don′t Leave Anywhere,,,DOKO,"DOKO, 사승호","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Alchemy of Souls: Light and Shadow, Pt. 1 (Original Television Soundtrack) (EP)",Blue Flower,,,LIA (ITZY),"Nam Hye Seung, 김경희","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"BREWING LOVE, Pt. 7 (Original Soundtrack) (Single)",Sky road,,,Bily Acoustie,"김범주, 김시혁","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"When The Phone Rings, Pt. 3 (Original Soundtrack) (EP)",Hear Me Out,,,Suran,"KIM E HYEON, Roh Hyoung Woo","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"The Glory, Pt. 1 (Original Soundtrack from the Netflix Series) (EP)",A Dazzling Season,,,YangPa,박성일,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Oh! Youngsim Pt. 5 (Original Soundtrack) (Single),I miss you,,,Han Seung Hee,"김성희, 박수연","Hàn Quốc, Nhạc Phim",FLUXUS INC.
LOOKISM OST,Fly Up (Ballad Ver.),,,DOÓR,"EDEN (Kim, Yonghwan), BUDDY (Kim, Minseop), Door (Byon, Jang Moon), HLB (Han, Ji Won)","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
It's Up To You (A Business Proposal OST Part.10) (EP),It's Up To You,,,Moon Sujin,"INAN, Bbalganyangmal, 빨간양말","Hàn Quốc, Nhạc Phim",Kakao Entertainment
I Need The Light (Original Soundtrack) (EP),I Need The Light,,,ENHYPEN,"Vincenzo, Jacob Aaron (THE HUB), Charlotte Wilson (THE HUB), The HUB 88","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"BREWING LOVE, Pt. 2 (Original Soundtrack) (Single)",Today,,,Kim Na Young,"ID:Earth, 조가람","Hàn Quốc, Nhạc Phim",FLUXUS INC.
Melody (Gongzza X Whee In) (Single),Melody,,,Whee In,"김창락, KIM SUBIN, Cho Sehee, Forever Noh","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"The Glory, Pt. 1 (Original Soundtrack from the Netflix Series) (EP)",You Remember,,,Paul Kim,Inoo,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"사랑이라 말해요, Pt. 4 (Original Soundtrack from the Disney+ Original Series) (EP)",Love Without Pain,,,Choi Yu Ree,,"Hàn Quốc, Nhạc Phim",Genie Music
Again my life OST Part.1 (Single),What the Ggang?,,,Yoon Do Hyun,"KIM JONG CHEON, KIM YE IL","Hàn Quốc, Nhạc Phim",FLUXUS INC.
Doona! (Music from The Netflix Series),Daylight,,,BIG Naughty,"Nam Hye Seung, Kim Kyoung Hee","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Weak Hero Class 1 (Original Soundtrack),Hero (Prod. by Primary),,,MEEGO,"Primary, Meego","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Closer (A Business Proposal OST Part.7) (EP),Closer,,,Song Haye,"WOO JI HUN, 우지훈","Hàn Quốc, Nhạc Phim",Kakao Entertainment
Save Me (Hope or Dope OST) (EP),Save Me,,,Kim Yeji,"다대노리, Jay Cuff","Hàn Quốc, Nhạc Phim",Stone Music Entertainment
"Young & Green (Original Soundtrack from Hear Me: Our Summer, Pt. 4) (EP)",Young & Green,,,Moong myang,"Freez, Prime Time","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Love is for Suckers OST Part.5 (EP),Slowly,,,Baek A Yeon,,"Hàn Quốc, Nhạc Phim",Genie Music
"Captivating the King, Pt. 3 (Original Soundtrack) (EP)",Wave,,,TAEIL,"Kapoo, Sean Kimm, M2u","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Delivery Man, Pt. 3 (Original Soundtrack) (EP)",What do you think,,,KYUHYUN,"Han Kyungsoo, 로지케이","Hàn Quốc, Nhạc Phim",FLUXUS INC.
Eve (Original Television Soundtrack),Eve,,,"HA GEUN YEONG, Jo Eun Jeong","하근영, 조은정","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Pokémon 2023 (Original TV Series Soundtrack, Korea) (Single)",We Go,,,aespa,"이원종, KEYOR, C’SA, 야경","Hàn Quốc, Nhạc Phim",FLUXUS INC.
Oh My Boy (Single),Oh My Boy,,,KWON EUN BI,,"Hàn Quốc, Nhạc Phim",Kakao Entertainment
You Are Mine (A Business Proposal OST Part.2) (EP),You Are Mine,,,VICTON,"D’tour, HILO (Isaac Han), Walter Pok, AARON KIM, 아론킴","Hàn Quốc, Nhạc Phim",Kakao Entertainment
"Love Next Door, Pt. 2 (Original Soundtrack) (EP)",What are we,,,Ha Sung Woon,"whyminsu, Okhan Uenver","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
LOVESTRUCK SISTERS Episode 5 (Original Soundtrack) (EP),Bomb Bomb Bomb,,,MYTRO,"조영수, 이유진","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Battle for Happiness, Pt. 3 (Original Soundtrack) (Single)",Blue,,,Vincent Blue,"김성희, 박수연, CLEF CREW","Hàn Quốc, Nhạc Phim",FLUXUS INC.
Good Person (2022) (Single),Good Person (2022),,,HAECHAN,유희열,"Hàn Quốc, Nhạc Phim",Stone Music Entertainment
When The Phone Rings (Original Soundtrack),Homme Fatale,,,Cho Eun Young,Cho Eun Young,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Again my life OST Part.3 (Single),Burn,,,Park Do Joon,The Rose,"Hàn Quốc, Nhạc Phim",FLUXUS INC.
"BREWING LOVE, Pt. 5 (Original Soundtrack) (Single)",Can′t Stop,,,TOMORROW X TOGETHER,"Runy, 이다희","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"Dear Hyeri, Pt. 3 (Original Soundtrack) (Single)",Our Timeless Moments,,,LeeHi,"Shaun Kim, Avalon 8","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"Tell Me That You Love Me, Pt. 2 (Original Soundtrack) (EP)",Just because it’s yours,,,mingginyu,"Nam Hye Seung, Kim Kyung Hee","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Love Next Door, Pt. 7 (Original Soundtrack) (EP)",The truth,,,Jung Hae In,"한성호, 이현승, Moon Kim (Room 01)","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Again my life OST Part.2 (EP),Bring It On,,,Sonnet,"KEONJIEOM, PARK DA EUN","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"Love Next Door, Pt. 3 (Original Soundtrack) (EP)",Reaching for you,,,ZEROBASEONE,"Flum3n, IRIS (MonoTree), Sam Carter (MonoTree), chegim","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"BREWING LOVE, Pt. 10 (Original Soundtrack) (Single)",Two of us,,,KIMSEJEONG,윤영준,"Hàn Quốc, Nhạc Phim",FLUXUS INC.
"Captivating the King, Pt. 4 (Original Soundtrack) (EP)",Peach Tree,,,Roy Kim,"Dinner Coat, 유정현","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"No Gain No Love, Pt. 7 (Original Soundtrack) (EP)",By Your Side,,,BANG YEDAM,"한경수, 최민준, 이정우, 강우진","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
A Time Called You (Music from The Netflix Series),Already One Year,,,Lim Kim,윤건,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"BREWING LOVE, Pt. 4 (Original Soundtrack) (Single)",Tomorrow,,,MeloMance,MeloMance,"Hàn Quốc, Nhạc Phim",FLUXUS INC.
"Love Next Door, Pt. 6 (Original Soundtrack) (EP)",Fantasy,,,AN DA EUN,"YUKI, 박솔, 정소리","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Dear Hyeri, Pt. 5 (Original Soundtrack) (Single)",Coming To You,,,Paul Blanco,"최재원, OUOW","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"No Gain No Love, Pt. 6 (Original Soundtrack) (EP)",A New Day,,,Kei,"Seung A Lee, BenAddict, 이의건","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Love is for Suckers OST Part.2 (Single),Dive With You,,,Mook,,"Hàn Quốc, Nhạc Phim",Genie Music
When The Phone Rings (Original Soundtrack),Reckless Plans,,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Love Next Door, Pt. 4 (Original Soundtrack) (EP)",Wall,,,Kwon Jin Ah,Kim Ehyun,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Dear Harry, Pt. 2 (Original Soundtrack) (Single)",In the Glow of Us,,,LEE MINHYUK (HUTA),"Avalon 8, Shaun Kim, 최인환","Hàn Quốc, Nhạc Phim",FLUXUS INC.
"Tell Me That You Love Me, Pt. 3 (Original Soundtrack) (EP)",try not to cry,,,10cm,"Nam Hye Seung, Kim Kyung Hee","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
We Go (English Version) (Single),We Go (English Version),,,aespa,"이원종, KEYOR, C’SA, 야경","Hàn Quốc, Nhạc Phim",FLUXUS INC.
LOVESTRUCK SISTERS Episode Final (Original Soundtrack) (EP),Love Hate,,,MYTRO,조영수,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
When The Phone Rings (Original Soundtrack),Breakthrough Pt.2,,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"Love Next Door, Pt. 1 (Original Soundtrack) (EP)",Any day with you,,,MUZIE,"MUZIE, 전채언, SPACECOWBOY, 제이드","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"No Gain No Love, Pt. 4 (Original Soundtrack) (EP)",Falling into you,,,Kim Jae Hwan,Gaemi,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
When The Phone Rings (Original Soundtrack),Dreaming,,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
"No Gain No Love, Pt. 8 (Original Soundtrack) (EP)",Only For You,,,Colde,"Gaemi, Cali, Yezi","Hàn Quốc, Nhạc Phim",Ingrooves Music Group
When The Phone Rings (Original Soundtrack),Revenge,,,김이현,김이현,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
When The Phone Rings (Original Soundtrack),406 Calling,,,OH HEEJOON,OH HEEJOON,"Hàn Quốc, Nhạc Phim",Ingrooves Music Group
Váy Cưới Của Em Giống Như Bông Tuyết / 你的婚纱像雪花 (Single),Váy Cưới Của Em Giống…,,,Lý Phát Phát / 李发发,灰色幽默,Hoa Ngữ,Believe
壁上观 / Bích Thượng Quan (Single),Bích Thượng Quan / 壁上观,,,Cúc Tịnh Y / 鞠婧祎,周明聪,Hoa Ngữ,Believe
Bất Công / 偏向 (Single),Bất Công / 偏向,,,陈子晴,音融三喜,Hoa Ngữ,Believe
Kiếp Sau Vẫn Muốn Lập Gia Đình Với Anh / 下辈子还要和你成个家 (女生版) (EP),Kiếp Sau Vẫn Muốn Lập Gia…,,,Đồng Đại Vương / 彤大王,珞岩,Hoa Ngữ,Believe
Là Anh / 是你 (Single),Là Anh / 是你,,,Mộng Nhiên / 梦然,,Hoa Ngữ,Believe
Gói Gọn Hồi Ức Trao Cho Anh / 把回忆拼好给你 (Single),Gói Gọn Hồi Ức Trao Cho…,,,Tô Tinh Tiệp / 苏星婕,童子-T,Hoa Ngữ,Believe
Ngày Trước Sợ / 从前怕 (EP),Ngày Trước Sợ / 从前怕,,,Vu Đông Nhiên / 于冬然,王霁宇,Hoa Ngữ,Believe
Hoa Lạc Vô Ngân / 花落无痕（《白月梵星》影视剧片头曲 (EP),Hoa Lạc Vô Ngân /…,,,萨顶顶,萨顶顶,"Hoa Ngữ, Nhạc Phim",JSJ MUSIC
Chưa Chắc / 未必 (Single),Chưa Chắc / 未必,,,Ngôn Cẩn Vũ / 言瑾羽,武鹏飞,Hoa Ngữ,Taihe Music Group
Người Ta / 他他他 (EP),Người Ta / 他他他,,,Ngải Thần / 艾辰,"张雨农, 李墨",Hoa Ngữ,Believe
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Saddle of My Heart…,,,Teloupe,HWANG YONG JU,"Hoa Ngữ, Nhạc Phim",Rock Mobile
若把你 (Lofi Version) / 若把你 (Lofi Version) (Single),Nếu Ví Anh Như (Lofi…,,,"Kirsty Lưu Cẩn Duệ / Kirsty刘瑾睿, Ice Paper, Hiên Kun's",Vương Tịnh Văn,Hoa Ngữ,RouteNote
Nghe Bản Tình Ca Bi Thương / 听悲伤的情歌 (Single),Nghe Bản Tình Ca Bi…,,,Tô Tinh Tiệp / 苏星婕,不要再胖了,Hoa Ngữ,Believe
Cỏ Dại Và Hoa Dành Dành / 野草与栀子花 (Single),Cỏ Dại Và Hoa Dành Dành /…,,,Lâm Tam Thất / 林三七,曲多美,"Hoa Ngữ, Pop",Taihe Music Group
Tình Yêu Bị Làm Sao Vậy / 爱怎么了 (Single),Tình Yêu Bị Làm Sao Vậy /…,,,Trần Thôn Trưởng / 陈村长,Trần Thôn Trưởng / 陈村长,Hoa Ngữ,Believe
Hắc Nguyệt Quang (Trường Nguyệt Tẫn Minh OST) / 电视剧《长月烬明》片尾曲 (Single),Hắc Nguyệt Quang (Trường…,,,"Mao Bất Dịch / 毛不易, Trương Bích Thần / 張碧晨",谭旋,"Hoa Ngữ, Nhạc Phim",Taihe Music Group
Thôi Hãy Quên Đi / 就忘了吧 (Single),Thôi Hãy Quên Đi / 就忘了吧,,,1K,1K,Hoa Ngữ,Believe
Đêm Ở Ulan Bator / 乌兰巴托的夜,Đêm Ở Ulan Bator /…,,,Đan Chính Mẫu Tử / 丹正母子,昔日布道尔吉,Hoa Ngữ,Believe
Tứ Ngã / 赐我,Tứ Ngã / 赐我,,,Nhất Chỉ Bạch Dương / 一只白羊,施靖奕,Hoa Ngữ,Believe
"Chiếc Bật Lửa Và Váy Công Chúa (OST) / 電視劇《點燃我, 溫暖你》原聲帶",Pháo Hoa / 焰火,,,Châu Thâm / 周深,石杨,"Hoa Ngữ, Pop",Believe
Anh Sẽ Đợi / 我会等 (Single),Anh Sẽ Đợi / 我会等,,,Thừa Hoàn / 承桓,成礼,Hoa Ngữ,Believe
"Hãy Làm Ánh Sáng Của Chính Mình, Không Cần Phải Quá Sáng / 做自己的光,不需要太亮 (Single)",Hãy Làm Ánh Sáng Của…,,,孟宇,孟宇,"Hoa Ngữ, Pop",Believe
如果思念有生命 / Nếu Như Nỗi Nhớ Có Sinh Mệnh (Single),Nếu Như Nỗi Nhớ Có Sinh…,,,余火火,,Hoa Ngữ,Believe
Cậu Luôn Phải Học Cách Tiến Lên Phía Trước / 你总要学会往前走 (Single),Cậu Luôn Phải Học Cách…,,,Nhậm Hạ / 任夏,曲多美,"Hoa Ngữ, Pop",Taihe Music Group
Ly Hôn ở Cộng Hòa Ghana / 在加纳共和国离婚 (Single),Ly Hôn ở Cộng Hòa Ghana /…,,,"Đới Vũ Đồng / 戴羽彤, Thừa Hoàn / 承桓",菲道尔,Hoa Ngữ,Believe
大概是因为你的到来,Kịch Hay / 好戏,,,Vương Tĩnh Văn / 王靖雯,Vương Tĩnh Văn / 王靖雯,Hoa Ngữ,Believe
"Chiếc Bật Lửa Và Váy Công Chúa (OST) / 電視劇《點燃我, 溫暖你》原聲帶",Falling You,,,"Tăng Khả Ny / 曾可妮, Đô Trí Văn / 都智文",Đô Trí Văn / 都智文,"Hoa Ngữ, Pop",Believe
Nhất Tiếu Giang Hồ (Remix) / 一笑江湖 (DJ版) (EP),Nhất Tiếu Giang Hồ (Remix)…,,,Văn Nhân Thính Thư / 闻人听書_,祝何,Hoa Ngữ,Believe
吉林的风吹过唐山吹到了河南 / Gió từ Cát Lâm thổi qua Đường Sơn tới Hà Nam (Single),Gió từ Cát Lâm thổi qua…,,,"邵帅, 梁靖崑, 王楚钦",邵帅,Hoa Ngữ,Believe
Tam Bái Hồng Trần Lương / 三拜红尘凉 (Single),Tam Bái Hồng Trần Lương /…,,,"鱼是没有亡的魂, 比耶茄子",鱼是没有亡的魂,Hoa Ngữ,Believe
Trong Nháy Mắt / 瞬 (Single),Trong Nháy Mắt / 瞬,,,Trịnh Nhuận Trạch / 郑润泽,Trịnh Nhuận Trạch / 郑润泽,Hoa Ngữ,Believe
Đi Đến Nơi Có Gió (OST) / 電視劇《去有風的地方》原聲帶,Đi Đến Nơi Có Gió /…,,,Úc Khả Duy / 郁可唯,汪拾米,"Hoa Ngữ, Nhạc Phim",Rock Mobile
Tình Yêu Sau Này Của Chúng Ta / 后来我们的爱 (Single),Tình Yêu Sau Này Của…,,,PRO,杨琛,Hoa Ngữ,Believe
Thứ Không Thể Quay Về Đâu Chỉ Có Thời Gian / 回不去的何止时间 (Single),Thứ Không Thể Quay Về…,,,A Mao / 吖毛,王璇,Hoa Ngữ,Believe
春不晚 (相思版) / Xuân Bất Vãn (Single),Xuân Bất Vãn / 春不晚…,,,Văn Nhân Thính Thư / 闻人听書_,郑浩,Hoa Ngữ,Believe
Quạ Kể Chuyện Tình Yêu Cây Tô Thiết Nở Hoa / 乌鸦说情话铁树开了花 (Single),Quạ Kể Chuyện Tình Yêu…,,,Nhĩ Đóa Tiện Lợi Điếm / 耳朵便利店,李易航,Hoa Ngữ,Taihe Music Group
